#Subsystem,Component,File,Purpose
#Note that for duplicates (where file moved components from old to new releases), new version is used and old
#version should be commented out or removed
base,charconv,gbk.cpl,"GBK charset converter wrapper"
base,charconv,gbk.r01,"GBK name"
base,charconv,gbk.r10,"GBK name (US)"
base,charconv,gbk_shared.dll,"GBK converter implementation"
base,charconv,hz.cpl,"HZ converter wrapper"
base,charconv,hz.r01,"HZ name"
base,charconv,hz.r10,"HZ name (US)"
base,charconv,iso2022jp.cpl,"ISO-2022-JP converter wrapper"
base,charconv,iso2022jp.r01,"ISO-2022-JP name"
base,charconv,iso2022jp.r10,"ISO-2022-JP name (US)"
base,charconv,iso2022jp1.cpl,"ISO-2022-JP-1 converter wrapper"
base,charconv,iso2022jp1.r01,"ISO-2022-JP-1 name"
base,charconv,iso2022jp1.r10,"ISO-2022-JP-1 name (US)"
base,charconv,iso885910.cpl,"ISO-8859-10 converter"
base,charconv,iso885910.r01,"ISO-8859-10 name"
base,charconv,iso885910.r10,"ISO-8859-10 name (US)"
base,charconv,iso885913.cpl,"ISO-8859-13 converter"
base,charconv,iso885913.r01,"ISO-8859-13 name"
base,charconv,iso885913.r10,"ISO-8859-13 name (US)"
base,charconv,iso885914.cpl,"ISO-8859-14 converter"
base,charconv,iso885914.r01,"ISO-8859-14 name"
base,charconv,iso885914.r10,"ISO-8859-14 name (US)"
base,charconv,iso885915.cpl,"ISO-8859-15 converter"
base,charconv,iso885915.r01,"ISO-8859-15 name"
base,charconv,iso885915.r10,"ISO-8859-15 name (US)"
base,charconv,iso88592.cpl,"ISO-8859-2 converter"
base,charconv,iso88592.r01,"ISO-8859-2 name"
base,charconv,iso88592.r10,"ISO-8859-2 name (US)"
base,charconv,iso88593.cpl,"ISO-8859-3 converter"
base,charconv,iso88593.r01,"ISO-8859-3 name"
base,charconv,iso88593.r10,"ISO-8859-3 name (US)"
base,charconv,iso88594.cpl,"ISO-8859-4 converter"
base,charconv,iso88594.r01,"ISO-8859-4 name"
base,charconv,iso88594.r10,"ISO-8859-4 name (US)"
base,charconv,iso88595.cpl,"ISO-8859-5 converter"
base,charconv,iso88595.r01,"ISO-8859-5 name"
base,charconv,iso88595.r10,"ISO-8859-5 name (US)"
base,charconv,iso88596.cpl,"ISO-8859-6 converter"
base,charconv,iso88596.r01,"ISO-8859-6 name"
base,charconv,iso88596.r10,"ISO-8859-6 name (US)"
base,charconv,iso88597.cpl,"ISO-8859-7 converter"
base,charconv,iso88597.r01,"ISO-8859-7 name"
base,charconv,iso88597.r10,"ISO-8859-7 name (US)"
base,charconv,iso88598.cpl,"ISO-8859-8 converter"
base,charconv,iso88598.r01,"ISO-8859-8 name"
base,charconv,iso88598.r10,"ISO-8859-8 name (US)"
base,charconv,iso88599.cpl,"ISO-8859-9 converter"
base,charconv,iso88599.r01,"ISO-8859-9 name"
base,charconv,iso88599.r10,"ISO-8859-9 name (US)"
base,charconv,jis.cpl,"JIS charset converter wrapper"
base,charconv,jis.r01,"JIS name"
base,charconv,jisbase_shared.dll,"Code shared between JIS.CPL,ISO2022JP.CPL and ISO2022JP1.CPL"
base,charconv,jisx0201.dll,"JIS-X-0201 convertion data"
base,charconv,jisx0208.dll,"JIS-X-0208 convertion data"
base,charconv,jisx0212.dll,"JIS-X-0212 convertion data"
base,charconv,shiftjis.cpl,"ShiftJIS converter wrapper"
base,charconv,shiftjis.r01,"ShiftJIS name"
base,charconv,shiftjis.r10,"ShiftJIS name (US)"
base,charconv,shiftjis_shared.dll,"ShiftJIS common implementation"
base,cirrus7211a,cakdca.dll,"Cirrus Logic keyboard look-up tables"
base,cirrus7211a,cakyca.dll,"Cirrus Logic keyboard library"
base,cirrus7211a,caxyca.dll,"Cirrus Logic digitizer library"
base,cirrus7211a,dasnca.pdd,"Cirrus Logic sound physical device driver"
base,cirrus7211a,datxca1.pdd,"Cirrus Logic Serial Port1 physical device driver"
base,cirrus7211a,datxca2.pdd,"Cirrus Logic Serial Port2 physical device driver"
base,cirrus7211a,epower.dll,"Cirrus Logic power model extension"
base,cirrus7211a,halca.dll,"Cirrus Logic HAL library"
base,cirrus7211a,varmca.dll,"Cirrus Logic variant library"
base,cogent1,cakdc1.dll,"Cogent keyboard look-up tables"
base,cogent1,cakyc1.dll,"Cogent keyboard library"
base,cogent1,caxyc1.dll,"Cogent digitizer library"
base,cogent1,datxc11dce.pdd,"Cogent DCE Serial Port1 physical device driver"
base,cogent1,datxc12dce.pdd,"Cogent DCE Serial Port2 physical device driver"
base,cogent1,datxc13.pdd,"Cogent Serial Port3 physical device driver"
base,cogent1,datxc14.pdd,"Cogent Serial Port4 physical device driver"
base,cogent1,halc1.dll,"Cogent HAL library"
base,cogent1,vcgac1.dll,"Cogent variant library"
base,dbms,edbms.dll,"Database management - client and server"
base,dbms,edbsrv.exe,"Database server process"
base,e32,econs.dll,"Client side library for text shell window server"
base,e32,ektran.dll,"Keyboard translation library"
base,e32,elocl.dll,"Localisation file statically linked to by the kernel"
base,f32,erofs.fsy,"ROFS file system"
base,e32,euser.dll,"User library"
base,e32,ewsrv.exe,"Text shell window server"
base,e32,ecomm.ldd,"Serial port logical device driver"
base,e32,edisp.dll,"Series5mx text shell display driver"
base,e32,ekern.exe,"Kernel"
base,e32,epbus.dll,"Peripheral Bus Controller (built for Series5mx)"
base,e32,medata.pdd,"ATA/CF Card media driver (built for Series5mx)"
base,e32,medcrm.pdd,"Compact ROM media driver (built for Series5mx)"
base,e32,medint.pdd,"Internal RAM media driver"
base,e32,ecommdce.ldd,"DCE serial port logical device driver (built for Cogent)"
base,e32,efir.ldd,"FIR logical device driver (built for Brutus)"
base,e32,eusbc.ldd,"USB client logical device driver"
base,e32,eusbcc.dll,"USB client Controller"
base,e32utils,apprvata.exe,"Test utility"
base,e32utils,d_exc.exe,"Test utility"
base,e32utils,drvtest.exe,"Test utility"
base,e32utils,mmctest.exe,"Test utility"
base,e32utils,pctest.exe,"Test utility"
base,e32utils,profiler.exe,"Test utility"
base,e32utils,d_drvif.ldd,"Test utility"
base,e32utils,d_pccdif.ldd,"Test utility"
base,e32utils,medawd.pdd,"Test utility"
base,e32utils,sampler.ldd,"Test utility"
base,e32utils,cromcopy.exe,"Test utility"
base,e32utils,d_mmcif.ldd,"Test utility"
base,e32utils,repro.exe,"Test utility"
base,f32,efile.exe,"File Server"
base,f32,efsrv.dll,"File Server client-side library"
base,f32,elffs.fsy,"LFFS file system"
base,f32,elocal.fsy,"FAT file system"
base,f32,eshell.exe,"Text shell"
base,f32,runtests.exe,"Test launcher"
base,hal,hal.dll,"Dummy HAL library"
base,integratorap,cintkdv1.dll,"Integrator keyboard look-up tables"
base,integratorap,cintkyintv1.dll,"Integrator keyboard library (interrupt driven)"
base,integratorap,cintkyserv1.dll,"Integrator serial keyboard library"
base,integratorap,cintkyv1.dll,"Integrator keyboard library (polled)"
base,integratorap,cintxyv1.dll,"Integrator digitizer library"
base,integratorap,dintfirv1.pdd,"Interator FIR physical device driver"
base,integratorap,dinttx1v1.pdd,"Integrator Serial Port1 physical device driver"
base,integratorap,dinttx2v1.pdd,"Integrator Serial Port2 physical device driver"
base,integratorap,halv1.dll,"Integrator HAL library"
base,integratorap,neon250.dll,"Integrator VGA display driver"
base,integratorap,vintv1.dll,"Integrator variant library"
base,loce32,elocl.01,"Locale information for UK"
base,loce32,elocl.02,"Locale information for France"
base,loce32,elocl.03,"Locale information for Germany"
base,loce32,elocl.04,"Locale information for Spain"
base,loce32,elocl.05,"Locale information for Italy"
base,loce32,elocl.10,"Locale information for US"
base,loce32,elocl.18,"Locale information for Holland (Dutch)"
base,loce32,elocl.19,"Locale information for Belgium (Dutch)"
base,loce32,elocl.29,"Locale information for Taiwan"
base,loce32,elocl.31,"Locale information for Hong Kong"
base,loce32,elocl.32,"Locale information for Japan"
base,loce32,elocl.loc,"Locale information for default locale"
base,loce32,elocl.sc,""
base,lubbock,cikdla.dll,"Lubbock keyboard look-up tables"
base,lubbock,cikyla.dll,"Lubbock keyboard library"
base,lubbock,cixyla.dll,"Lubbock digitizer library"
base,lubbock,dihalla.ldd,"Lubbock HAL driver"
base,lubbock,ditxla1.pdd,"Lubbock Serial Port1 physical device driver"
